Library_Name	collapsed_name	Field location	planting_status	biological_replicate	technical_replicate	HostSpecies	collection_date	Run	processed_name
FC33	FC3	Fengqiu	fallow	3	3	envrionmental	12-Sep-11	SRR5345390	SRR5345390.txt.gz
FC23	FC2	Fengqiu	fallow	2	3	envrionmental	12-Sep-11	SRR5345391	SRR5345391.txt.gz
FC13	FC1	Fengqiu	fallow	1	3	envrionmental	12-Sep-11	SRR5345392	SRR5345392.txt.gz
FC32	FC3	Fengqiu	fallow	3	2	envrionmental	12-Sep-11	SRR5345408	SRR5345408.txt.gz
FC22	FC2	Fengqiu	fallow	2	2	envrionmental	12-Sep-11	SRR5345409	SRR5345409.txt.gz
FC12	FC1	Fengqiu	fallow	1	2	envrionmental	12-Sep-11	SRR5345410	SRR5345410.txt.gz
FC31	FC3	Fengqiu	fallow	3	1	envrionmental	12-Sep-11	SRR5345437	SRR5345437.txt.gz
FC11	FC1	Fengqiu	fallow	1	1	envrionmental	12-Sep-11	SRR5345439	SRR5345439.txt.gz
FC21	FC2	Fengqiu	fallow	2	1	envrionmental	12-Sep-11	SRR5345438	SRR5345438.txt.gz
FP33	FP3	Fengqiu	planted	3	3	envrionmental	12-Sep-11	SRR5345393	SRR5345393.txt.gz
FP23	FP2	Fengqiu	planted	2	3	envrionmental	12-Sep-11	SRR5345394	SRR5345394.txt.gz
FP13	FP1	Fengqiu	planted	1	3	envrionmental	12-Sep-11	SRR5345395	SRR5345395.txt.gz
FP22	FP2	Fengqiu	planted	2	2	envrionmental	12-Sep-11	SRR5345412	SRR5345412.txt.gz
FP12	FP1	Fengqiu	planted	1	2	envrionmental	12-Sep-11	SRR5345413	SRR5345413.txt.gz
FP32	FP3	Fengqiu	planted	3	2	envrionmental	12-Sep-11	SRR5345411	SRR5345411.txt.gz
FP31	FP3	Fengqiu	planted	3	1	envrionmental	12-Sep-11	SRR5345440	SRR5345440.txt.gz
FP21	FP2	Fengqiu	planted	2	1	envrionmental	12-Sep-11	SRR5345441	SRR5345441.txt.gz
FP11	FP1	Fengqiu	planted	1	1	envrionmental	12-Sep-11	SRR5345442	SRR5345442.txt.gz
HC33	HC3	Hailun	fallow	3	3	envrionmental	2-Oct-11	SRR5345384	SRR5345384.txt.gz
HC23	HC2	Hailun	fallow	2	3	envrionmental	2-Oct-11	SRR5345385	SRR5345385.txt.gz
HC13	HC1	Hailun	fallow	1	3	envrionmental	2-Oct-11	SRR5345386	SRR5345386.txt.gz
HC32	HC3	Hailun	fallow	3	2	envrionmental	2-Oct-11	SRR5345402	SRR5345402.txt.gz
HC22	HC2	Hailun	fallow	2	2	envrionmental	2-Oct-11	SRR5345403	SRR5345403.txt.gz
HC12	HC1	Hailun	fallow	1	2	envrionmental	2-Oct-11	SRR5345404	SRR5345404.txt.gz
HC31	HC3	Hailun	fallow	3	1	envrionmental	2-Oct-11	SRR5345424	SRR5345424.txt.gz
HC21	HC2	Hailun	fallow	2	1	envrionmental	2-Oct-11	SRR5345426	SRR5345426.txt.gz
HC11	HC1	Hailun	fallow	1	1	envrionmental	2-Oct-11	SRR5345428	SRR5345428.txt.gz
HP33	HP3	Hailun	planted	3	3	envrionmental	2-Oct-11	SRR5345387	SRR5345387.txt.gz
HP23	HP2	Hailun	planted	2	3	envrionmental	2-Oct-11	SRR5345388	SRR5345388.txt.gz
HP13	HP1	Hailun	planted	1	3	envrionmental	2-Oct-11	SRR5345389	SRR5345389.txt.gz
HP32	HP3	Hailun	planted	3	2	envrionmental	2-Oct-11	SRR5345405	SRR5345405.txt.gz
HP22	HP2	Hailun	planted	2	2	envrionmental	2-Oct-11	SRR5345406	SRR5345406.txt.gz
HP12	HP1	Hailun	planted	1	2	envrionmental	2-Oct-11	SRR5345407	SRR5345407.txt.gz
HP31	HP3	Hailun	planted	3	1	envrionmental	2-Oct-11	SRR5345430	SRR5345430.txt.gz
HP21	HP2	Hailun	planted	2	1	envrionmental	2-Oct-11	SRR5345432	SRR5345432.txt.gz
HP11	HP1	Hailun	planted	1	1	envrionmental	2-Oct-11	SRR5345434	SRR5345434.txt.gz
YC33	YC3	Yingtan	fallow	3	3	envrionmental	29-Jul-11	SRR5345378	SRR5345378.txt.gz
YC23	YC2	Yingtan	fallow	2	3	envrionmental	29-Jul-11	SRR5345379	SRR5345379.txt.gz
YC13	YC1	Yingtan	fallow	1	3	envrionmental	29-Jul-11	SRR5345380	SRR5345380.txt.gz
YC32	YC3	Yingtan	fallow	3	2	envrionmental	29-Jul-11	SRR5345396	SRR5345396.txt.gz
YC22	YC2	Yingtan	fallow	2	2	envrionmental	29-Jul-11	SRR5345397	SRR5345397.txt.gz
YC12	YC1	Yingtan	fallow	1	2	envrionmental	29-Jul-11	SRR5345398	SRR5345398.txt.gz
YC21	YC2	Yingtan	fallow	2	1	envrionmental	29-Jul-11	SRR5345416	SRR5345416.txt.gz
YC31	YC3	Yingtan	fallow	3	1	envrionmental	29-Jul-11	SRR5345414	SRR5345414.txt.gz
YC11	YC1	Yingtan	fallow	1	1	envrionmental	29-Jul-11	SRR5345417	SRR5345417.txt.gz
YP33	YP3	Yingtan	planted	3	3	envrionmental	29-Jul-11	SRR5345381	SRR5345381.txt.gz
YP23	YP2	Yingtan	planted	2	3	envrionmental	29-Jul-11	SRR5345382	SRR5345382.txt.gz
YP13	YP1	Yingtan	planted	1	3	envrionmental	29-Jul-11	SRR5345383	SRR5345383.txt.gz
YP32	YP3	Yingtan	planted	3	2	envrionmental	29-Jul-11	SRR5345399	SRR5345399.txt.gz
YP22	YP2	Yingtan	planted	2	2	envrionmental	29-Jul-11	SRR5345400	SRR5345400.txt.gz
YP12	YP1	Yingtan	planted	1	2	envrionmental	29-Jul-11	SRR5345401	SRR5345401.txt.gz
YP31	YP3	Yingtan	planted	3	1	envrionmental	29-Jul-11	SRR5345419	SRR5345419.txt.gz
YP21	YP2	Yingtan	planted	2	1	envrionmental	29-Jul-11	SRR5345420	SRR5345420.txt.gz
YP11	YP1	Yingtan	planted	1	1	envrionmental	29-Jul-11	SRR5345422	SRR5345422.txt.gz
